Pattern,YT Cost (ms),YT Benefit (ms),PT Cost (ms),PT Benefit (ms),LJ Cost (ms),LJ Benefit (ms)
C3,111.88600000000042,-0.47799999999999976,796.724000000002,0.13400000000000034,-4251.267999999996,7.140999999999991
R4,180.17300000000046,60.48199999999997,754.5169999999998,12.263000000000005,1911.0430000000051,1204.5569999999998
T6,81.17000000000007,-6249.691000000001,1020.9579999999987,-25.438000000000002,3314.6120000000083,-80036.92800000001
