Name,WV,PP,AP,YT,PT,LJ
PimPam,93.24000000000001,78.352,151.097,2056.968,24284.469999999998,82359.91
GraphPi,76.298,42.628,143.354,3260.7270000000003,30263.020999999997,55595.212
